"Product_ID";"Product_Name";"Category";"Sub_Category";"product_key"
"FUR-BO-10001798";"Bush Somerset Collection Bookcase";"Furniture";"Bookcases";1
"FUR-CH-10000454";"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back";"Furniture";"Chairs";2
"OFF-LA-10000240";"Self-Adhesive Address Labels for Typewriters by Universal";"Office Supplies";"Labels";3
"FUR-TA-10000577";"Bretford CR4500 Series Slim Rectangular Table";"Furniture";"Tables";4
"OFF-ST-10000760";"Eldon Fold 'N Roll Cart System";"Office Supplies";"Storage";5
"FUR-FU-10003347";"Coloredge Poster Frame";"Furniture";"Furnishings";6
"FUR-FU-10001487";"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood";"Furniture";"Furnishings";7
"OFF-AR-10002833";"Newell 322";"Office Supplies";"Art";8
"TEC-PH-10002275";"Mitel 5320 IP Phone VoIP phone";"Technology";"Phones";9
"OFF-BI-10001543";"GBC VeloBinder Manual Binding System";"Office Supplies";"Binders";10
"FUR-FU-10004351";"Staple-based wall hangings";"Furniture";"Furnishings";11
"TEC-PH-10000011";"PureGear Roll-On Screen Protector";"Technology";"Phones";12
"OFF-ST-10000615";"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h";"Office Supplies";"Storage";13
"FUR-FU-10003194";"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak";"Furniture";"Furnishings";14
"OFF-BI-10003910";"DXL Angle-View Binders with Locking Rings by Samsill";"Office Supplies";"Binders";15
"OFF-AP-10002892";"Belkin F5C206VTEL 6 Outlet Surge";"Office Supplies";"Appliances";16
"TEC-MA-10000029";"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner";"Technology";"Machines";17
"OFF-AR-10000369";"Design Ebony Sketching Pencil";"Office Supplies";"Art";18
"OFF-AP-10002118";"1.7 Cubic Foot Compact ""Cube"""" Office Refrigerators""";"Office Supplies";"Appliances";19
"FUR-TA-10001539";"Chromcraft Rectangular Conference Tables";"Furniture";"Tables";20
"OFF-BI-10004584";"GBC ProClick 150 Presentation Binding System";"Office Supplies";"Binders";21
"OFF-BI-10002309";"Avery Heavy-Duty EZD  Binder With Locking Rings";"Office Supplies";"Binders";22
"TEC-PH-10002033";"Konftel 250 Conference phone - Charcoal black";"Technology";"Phones";23
"OFF-AR-10002053";"Premium Writing Pencils, Soft, #2 by Central Association for the Blind";"Office Supplies";"Art";24
"OFF-ST-10000617";"Woodgrain Magazine Files by Perma";"Office Supplies";"Storage";25
"FUR-TA-10002607";"KI Conference Tables";"Furniture";"Tables";26
"OFF-ST-10002370";"Sortfiler Multipurpose Personal File Organizer, Black";"Office Supplies";"Storage";27
"OFF-PA-10002365";"Xerox 1967";"Office Supplies";"Paper";28
"OFF-EN-10000927";"Jet-Pak Recycled Peel 'N' Seal Padded Mailers";"Office Supplies";"Envelopes";29
"OFF-ST-10003306";"Letter Size Cart";"Office Supplies";"Storage";30
"OFF-BI-10003656";"Fellowes PB200 Plastic Comb Binding Machine";"Office Supplies";"Binders";31
"OFF-BI-10000773";"Insertable Tab Post Binder Dividers";"Office Supplies";"Binders";32
"OFF-ST-10003656";"Safco Industrial Wire Shelving";"Office Supplies";"Storage";33
"OFF-AP-10002311";"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter";"Office Supplies";"Appliances";34
"OFF-BI-10000756";"Storex DuraTech Recycled Plastic Frosted Binders";"Office Supplies";"Binders";35
"FUR-FU-10002505";"Eldon 100 Class Desk Accessories";"Furniture";"Furnishings";36
"FUR-CH-10000863";"Novimex Swivel Fabric Task Chair";"Furniture";"Chairs";37
"TEC-AC-10001998";"Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired";"Technology";"Accessories";38
"OFF-ST-10004186";"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""""W x 18 1/2""""D""";"Office Supplies";"Storage";39
"OFF-ST-10002276";"Safco Steel Mobile File Cart";"Office Supplies";"Storage";40
"TEC-AC-10002600";"Belkin QODE FastFit Bluetooth Keyboard";"Technology";"Accessories";41
"OFF-ST-10000107";"Fellowes Super Stor/Drawer";"Office Supplies";"Storage";42
"OFF-PA-10004082";"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book";"Office Supplies";"Paper";43
"OFF-LA-10000134";"Avery 511";"Office Supplies";"Labels";44
"TEC-MA-10002937";"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner";"Technology";"Machines";45
