"Sales_ID";"Order_ID";"Order_Date";"Ship_Date";"customer_key";"product_key";"Ship_Mode_ID";"Quantity";"Sales";"Profit"
1;"CA-2015-140921";"2015-02-03";"2015-02-05";8;549;3;3;149.97;50.99
2;"CA-2015-140921";"2015-02-03";"2015-02-05";8;6;3;2;28.4;11.08
3;"CA-2016-126613";"2016-07-10";"2016-07-16";11;413;2;2;16.77;1.47
4;"CA-2017-114412";"2017-04-15";"2017-04-20";18;28;2;3;15.55;5.44
5;"CA-2016-129714";"2016-09-01";"2016-09-03";30;636;3;4;4355.17;1415.43
6;"CA-2016-129714";"2016-09-01";"2016-09-03";30;610;3;4;49.12;23.09
7;"CA-2016-129714";"2016-09-01";"2016-09-03";30;612;3;1;3.05;1.07
8;"CA-2016-129714";"2016-09-01";"2016-09-03";30;610;3;2;24.56;11.54
9;"CA-2016-129714";"2016-09-01";"2016-09-03";30;69;3;1;6.79;2.31
10;"CA-2015-131534";"2015-03-28";"2015-04-02";50;344;2;5;33.4;16.03
11;"CA-2015-131534";"2015-03-28";"2015-04-02";50;342;2;1;166.24;24.94
12;"CA-2017-144932";"2017-04-14";"2017-04-17";54;420;3;3;13.87;5.03
13;"CA-2017-144932";"2017-04-14";"2017-04-17";54;640;3;3;89.86;21.34
14;"CA-2017-144932";"2017-04-14";"2017-04-17";54;450;3;3;14.59;2.55
15;"CA-2014-129924";"2014-07-12";"2014-07-17";70;573;2;3;698.35;-17.46
16;"CA-2014-129924";"2014-07-12";"2014-07-17";70;567;2;2;7.71;2.8
17;"US-2014-152030";"2014-12-26";"2014-12-28";89;160;1;3;600.56;-8.58
18;"CA-2017-127432";"2017-01-22";"2017-01-27";92;338;2;3;1126.02;56.3
19;"CA-2017-127432";"2017-01-22";"2017-01-27";92;337;2;2;11.96;5.38
20;"CA-2017-127432";"2017-01-22";"2017-01-27";92;333;2;3;51.45;13.89
21;"CA-2017-127432";"2017-01-22";"2017-01-27";92;285;2;5;2999.95;1379.98
22;"CA-2015-114300";"2015-10-13";"2015-10-17";105;361;2;3;287.94;77.74
23;"CA-2015-114300";"2015-10-13";"2015-10-17";105;384;2;7;83.72;23.44
24;"CA-2014-167164";"2014-05-13";"2014-05-15";107;42;1;2;55.5;9.99
25;"CA-2016-109820";"2016-11-20";"2016-11-22";123;104;3;3;14.43;-10.58
26;"CA-2016-109820";"2016-11-20";"2016-11-22";123;72;3;2;2.63;-1.93
27;"CA-2016-109820";"2016-11-20";"2016-11-22";123;904;3;3;15.7;5.1
28;"CA-2017-132976";"2017-10-13";"2017-10-17";133;228;2;3;24.84;8.69
29;"CA-2017-132976";"2017-10-13";"2017-10-17";133;223;2;6;59.71;5.97
30;"CA-2017-132976";"2017-10-13";"2017-10-17";133;222;2;2;11.65;4.08
31;"CA-2014-167850";"2014-08-09";"2014-08-16";134;457;2;3;15.55;5.44
32;"CA-2014-167850";"2014-08-09";"2014-08-16";134;455;2;2;178.38;22.3
33;"CA-2016-108987";"2016-09-08";"2016-09-10";140;795;1;2;57.58;0.72
34;"CA-2016-108987";"2016-09-08";"2016-09-10";140;793;1;4;131.14;-32.78
35;"CA-2016-108987";"2016-09-08";"2016-09-10";140;103;1;4;2396.27;-317.15
